id,ano,municipio,codigo_postal,total_fugas,tipo_de_fuga,fecha
839,2019,Boixar (Pobla de Benifassà),12599,1,Acometida,25/6/2019
840,2019,Chóvar,12499,1,Tubería general,26/6/2019
841,2019,Eslida,12528,1,Tubería general,27/6/2019
842,2019,Caudiel,12440,1,Acometida,1/7/2019
844,2019,Alfondeguilla,12609,1,Tubería general,3/7/2019
849,2019,Herbés,12317,1,Tubería general,9/7/2019
857,2019,Benassal,12160,1,Acometida,17/7/2019
858,2019,Benassal,12160,1,Acometida,17/7/2019
859,2019,Soneja,12480,1,Tubería general,18/7/2019
863,2019,Jérica,12450,0,,24/7/2019
864,2019,Benafer,12449,1,Tubería general,5/8/2019
868,2019,Herbés,12317,1,Tubería general,13/8/2019
872,2019,Los Calpes (Puebla de Arenoso),12428,1,Tubería general,19/8/2019
875,2019,Cedraman,12123,1,Acometida,27/8/2019
878,2019,Soneja,12480,1,Tubería general,3/9/2019
881,2019,Alfondeguilla,12609,1,Tubería general,2/9/2019
